user_id,item_id,Title,Semester,Class,App,Lockdown,Ease, Age,Married,rating
92,57,67,2,3,0.25,2,0.5,2,0.0,2
135,3,38,1,2,1.0,3,1.0,3,0.0,5
365,42,13,2,1,0.25,3,0.0,3,1.0,1
227,19,51,1,2,0.5,2,0.25,2,0.0,2
299,25,36,1,1,0.5,3,0.5,2,1.0,5
420,49,21,1,1,1.0,3,1.0,3,0.0,5
367,37,27,1,1,1.0,3,0.75,3,0.0,5
451,21,10,1,3,0.75,3,0.75,3,0.0,4
351,29,37,2,1,1.0,3,0.5,2,0.0,5
196,39,14,2,3,1.0,2,0.5,3,0.0,5
224,7,24,2,2,0.75,3,1.0,3,0.0,4
101,19,51,1,2,0.5,2,0.25,3,1.0,2
248,38,57,1,1,0.5,3,0.25,2,0.0,2
180,37,27,1,1,0.25,3,0.25,3,0.0,2
97,18,53,1,2,0.0,3,0.25,2,0.0,1
29,21,10,2,3,0.0,3,0.0,2,0.0,1
63,46,35,2,1,0.25,3,0.25,2,0.0,1
230,27,49,2,1,1.0,3,0.75,3,0.0,5
4,48,30,1,1,1.0,3,0.5,3,1.0,5
57,12,56,2,2,1.0,3,1.0,2,0.0,5
250,30,20,1,3,0.0,3,0.25,3,0.0,2
319,50,61,1,1,0.75,1,0.75,2,0.0,5
294,57,67,2,3,0.0,2,0.5,2,0.0,1
303,48,30,2,3,0.75,3,0.75,3,0.0,5
200,9,59,2,2,1.0,3,0.75,3,0.0,5
154,43,28,1,1,0.25,3,0.0,3,1.0,1
21,35,60,2,3,1.0,3,0.75,3,0.0,5
174,48,30,1,3,0.5,2,0.25,2,0.0,5
28,26,26,1,1,1.0,3,1.0,2,0.0,5
405,9,59,1,2,0.25,2,0.25,3,0.0,2
302,29,37,2,1,0.75,3,0.75,3,0.0,5
422,36,64,2,3,0.5,3,0.25,3,0.0,3
272,51,15,2,1,0.0,3,0.5,2,0.0,1
313,21,10,2,1,0.25,3,0.25,3,0.0,1
311,39,14,2,1,1.0,3,0.5,3,0.0,4
365,26,26,2,1,0.25,3,0.25,3,1.0,2
389,61,25,2,1,1.0,3,0.5,2,0.0,5
177,68,2,1,1,0.75,1,0.5,3,1.0,4
356,29,37,1,1,1.0,3,1.0,3,0.0,5
417,50,61,1,3,0.5,3,0.25,3,0.0,1
372,30,20,2,1,1.0,3,0.5,3,0.0,5
316,39,14,2,1,0.75,3,0.75,3,0.0,4
362,30,20,1,1,0.5,3,0.0,3,0.0,3
124,24,46,1,3,1.0,3,0.75,3,1.0,3
385,48,30,2,1,0.75,3,0.75,2,0.0,5
451,40,3,1,3,0.25,3,0.25,3,0.0,2
177,53,19,2,3,0.0,2,0.5,3,1.0,1
86,20,12,1,1,1.0,3,0.5,3,0.0,5
179,20,12,2,3,0.75,2,0.75,3,0.0,5
68,41,7,1,1,0.75,3,0.5,2,0.0,5
216,32,16,1,1,0.75,3,0.5,2,0.0,5
155,3,38,1,2,0.0,3,0.25,3,1.0,1
365,40,3,2,1,0.5,3,0.5,3,1.0,3
426,15,54,2,2,0.75,3,0.75,2,0.0,4
23,20,12,2,3,0.75,2,0.5,3,1.0,5
425,49,21,1,3,0.25,3,0.25,3,0.0,2
279,67,47,1,1,0.75,3,0.5,2,0.0,4
241,29,37,1,1,1.0,3,0.5,2,0.0,5
59,59,69,2,3,0.75,3,0.75,3,0.0,4
98,69,65,1,3,0.75,3,0.5,3,0.0,4
86,48,30,1,3,0.75,3,0.5,3,0.0,5
182,23,62,2,3,0.0,2,0.0,5,0.0,1
195,12,56,2,2,0.5,3,0.25,3,0.0,1
336,36,64,2,3,0.0,2,0.0,2,0.0,1
301,43,28,2,3,0.5,3,0.25,3,0.0,3
341,20,12,1,3,0.75,3,0.75,2,0.0,5
148,69,65,1,1,0.75,3,0.25,5,1.0,4
448,64,32,1,1,0.75,3,0.5,3,0.0,4
247,46,35,2,3,0.75,2,0.25,2,0.0,5
357,36,64,1,1,0.5,3,0.5,2,0.0,2
231,38,57,1,1,0.75,3,0.5,4,0.0,4
14,69,65,2,1,0.0,3,0.0,3,0.0,1
180,50,61,1,1,0.25,3,0.25,3,0.0,2
5,18,53,1,2,0.5,2,0.5,2,0.0,2
259,38,57,2,3,0.5,2,0.5,3,1.0,4
246,44,40,2,1,0.75,3,0.5,3,0.0,5
271,21,10,1,1,0.5,3,0.25,3,0.0,2
392,65,70,1,1,1.0,3,1.0,3,0.0,5
31,8,44,1,2,0.5,2,0.5,2,0.0,2
143,65,70,1,3,0.5,3,0.75,3,1.0,3
308,13,34,1,2,0.75,2,0.5,2,0.0,3
244,62,63,1,1,0.5,3,0.75,1,0.0,4
75,46,35,1,1,1.0,3,0.5,3,0.0,5
251,20,12,2,3,0.75,2,0.5,2,0.0,5
423,38,57,1,1,0.25,3,0.5,3,1.0,2
379,64,32,2,1,0.25,3,0.25,3,0.0,4
60,68,2,1,3,0.75,1,0.75,5,1.0,5
310,32,16,1,1,0.75,3,0.75,2,0.0,4
274,48,30,2,3,1.0,3,0.5,2,0.0,5
178,16,52,1,2,0.5,2,0.75,2,0.0,2
90,50,61,1,3,0.0,3,0.5,3,0.0,1
451,66,4,1,3,1.0,3,1.0,3,0.0,5
445,6,11,2,2,0.75,3,0.75,5,1.0,4
132,35,60,1,1,0.25,3,1.0,3,0.0,1
10,29,37,1,3,0.75,3,0.5,3,0.0,4
213,29,37,2,3,1.0,3,0.75,3,1.0,5
407,58,1,1,1,0.5,3,0.5,3,0.0,2
48,21,10,2,3,0.25,3,0.25,3,0.0,2
369,13,34,1,2,0.75,2,0.5,2,0.0,4
167,28,39,1,3,0.25,3,0.25,2,0.0,2
414,35,60,2,1,0.5,3,0.75,2,0.0,4
5,2,23,1,2,0.75,2,0.75,2,0.0,5
176,24,46,1,3,0.25,3,0.75,3,0.0,5
257,0,17,2,2,0.5,3,0.5,3,0.0,3
155,68,2,2,3,0.5,3,1.0,3,1.0,4
4,25,36,1,3,0.25,3,0.5,3,1.0,2
321,25,36,1,3,0.5,3,0.25,2,0.0,2
99,9,59,1,2,1.0,3,0.75,3,0.0,5
342,31,9,1,1,0.75,3,0.5,2,0.0,4
119,28,39,1,1,0.5,3,0.75,5,1.0,3
379,57,67,2,1,0.5,3,0.25,3,0.0,4
441,27,49,1,1,1.0,3,0.25,1,1.0,5
5,0,17,1,2,0.75,2,0.5,2,0.0,4
47,29,37,2,3,1.0,3,1.0,3,0.0,5
352,24,46,1,1,0.25,3,0.25,2,0.0,2
371,20,12,1,3,0.5,3,0.5,3,0.0,4
81,45,68,1,1,0.75,3,0.25,2,0.0,3
37,36,64,1,1,1.0,3,0.75,3,0.0,5
132,55,29,1,1,1.0,3,0.25,3,0.0,5
300,49,21,1,3,0.25,3,0.25,2,0.0,3
434,40,3,1,3,0.5,2,0.5,5,1.0,4
422,38,57,2,3,1.0,3,1.0,3,0.0,5
123,40,3,1,3,0.25,1,0.0,2,0.0,1
36,63,45,2,1,0.25,3,0.75,2,0.0,1
393,25,36,1,1,1.0,3,0.75,2,0.0,4
404,39,14,1,1,0.5,3,0.25,2,0.0,2
98,21,10,1,3,0.5,3,0.75,3,0.0,2
403,60,66,1,3,0.5,3,0.75,2,0.0,3
229,31,9,1,3,1.0,3,1.0,3,0.0,5
298,1,48,1,2,0.0,2,0.0,2,0.0,1
185,6,11,1,2,0.75,2,0.75,2,0.0,5
206,14,58,1,2,0.0,3,0.5,3,0.0,3
15,14,58,1,2,0.5,2,0.5,2,0.0,2
223,24,46,2,1,0.25,3,0.25,2,0.0,2
158,28,39,2,3,0.5,3,0.5,3,1.0,2
51,64,32,1,3,0.75,1,0.75,2,0.0,3
27,48,30,1,1,1.0,3,0.75,3,0.0,4
46,7,24,1,2,0.75,3,0.75,3,0.0,4
354,23,62,1,1,0.5,3,0.25,3,0.0,2
422,63,45,2,3,0.5,3,0.75,3,0.0,5
180,6,11,1,2,0.25,3,0.5,3,0.0,3
357,37,27,1,1,0.75,3,0.5,2,0.0,4
114,22,33,2,3,0.0,3,0.5,5,1.0,3
41,21,10,1,1,0.75,3,0.5,3,0.0,4
407,24,46,1,1,0.75,3,0.75,3,0.0,5
345,62,63,2,1,0.75,3,0.75,2,0.0,4
124,20,12,1,3,1.0,3,0.75,3,1.0,5
414,39,14,1,3,1.0,3,1.0,2,0.0,4
116,53,19,1,1,0.75,3,0.75,2,0.0,4
176,26,26,1,3,0.5,3,0.5,3,0.0,3
107,65,70,1,1,0.75,3,1.0,3,0.0,4
314,38,57,2,1,0.5,3,0.25,2,0.0,2
338,68,2,2,3,0.0,2,1.0,2,0.0,1
299,39,14,1,1,0.75,3,0.5,2,1.0,5
331,14,58,2,2,0.25,3,0.25,2,0.0,2
333,0,17,1,2,0.25,2,0.0,3,1.0,3
45,4,41,1,2,1.0,2,0.75,2,0.0,5
98,62,63,1,3,0.5,3,0.75,3,0.0,4
215,24,46,1,1,0.75,1,0.5,2,0.0,4
376,25,36,2,1,0.5,3,0.5,3,0.0,5
246,45,68,2,1,0.75,3,0.25,3,0.0,4
342,20,12,1,1,1.0,3,0.5,2,0.0,5
37,34,42,1,1,0.75,3,0.75,3,0.0,3
423,39,14,1,1,1.0,3,0.75,3,1.0,5
115,69,65,1,1,1.0,3,0.75,1,1.0,5
304,51,15,2,1,0.25,3,0.0,3,0.0,1
331,5,5,2,2,0.75,3,0.75,2,0.0,4
59,14,58,1,2,0.25,3,0.25,3,0.0,2
372,67,47,2,1,0.5,3,0.5,3,0.0,4
218,56,18,1,1,0.25,3,0.75,3,1.0,2
396,50,61,1,3,0.0,3,0.25,3,0.0,2
377,68,2,1,3,1.0,3,0.75,2,1.0,5
79,23,62,1,1,0.75,3,0.5,2,0.0,5
363,39,14,1,1,0.5,3,0.5,2,0.0,5
417,59,69,1,1,1.0,3,1.0,3,0.0,5
432,37,27,2,3,0.5,3,0.5,3,0.0,2
168,0,17,1,2,0.25,2,0.25,3,1.0,2
308,10,31,1,2,0.75,2,0.75,2,0.0,4
