user_id,item_id,SessionDuration,SessionsPerWeek,CourseCompletion,rating,QuizScores
1804,9,0.078947365,0.125,1.0,2,0.056650363
2137,0,0.7280702,0.625,1.0,4,0.32295814
264,2,0.9298246,0.5,0.0,2,0.89907795
1656,7,0.64912283,1.0,1.0,5,0.33007258
1876,6,0.98245615,0.625,0.0,2,0.14944237
886,2,0.12280702,0.5,0.0,3,0.7069494
1966,0,0.5350877,0.125,0.0,4,0.44143295
329,16,0.47368422,0.125,1.0,3,0.27456933
1091,8,0.0,0.5,1.0,1,0.1371601
782,7,0.61403507,0.375,1.0,1,0.6528664
1384,6,0.3508772,0.5,1.0,2,0.8253625
401,9,0.622807,0.125,1.0,1,0.04470675
1313,13,0.12280702,0.25,0.0,3,0.056760132
724,17,0.21052632,0.125,0.0,1,0.5802594
1254,7,0.877193,0.5,1.0,3,0.4741263
1786,0,0.1754386,0.875,1.0,5,0.55044484
2032,15,0.2631579,1.0,1.0,1,0.64389735
2131,8,0.21929824,0.5,1.0,1,0.599224
10,19,0.8333333,0.5,0.0,5,0.62384105
2290,18,0.8245614,0.0,1.0,5,0.57835174
1433,2,0.9649123,0.875,0.0,3,0.7731781
2444,16,0.49122807,0.0,0.0,4,0.33578613
1376,18,0.74561405,1.0,1.0,2,0.09073777
2095,12,0.64912283,0.75,1.0,5,0.17459428
1787,9,0.42105263,0.875,0.0,1,0.6097633
2257,5,0.69298244,0.75,1.0,4,0.21807949
1083,18,0.9736842,0.75,1.0,1,0.63505274
891,8,0.15789473,1.0,0.0,3,0.71064454
577,1,0.096491225,0.375,1.0,4,0.25976965
1097,15,0.42982456,0.875,0.0,1,0.75252795
131,15,0.5964912,0.5,0.0,2,0.3160007
553,16,0.7719298,0.375,0.0,4,0.7678555
1878,3,0.2631579,0.625,0.0,2,0.12752241
2218,2,0.88596493,0.75,1.0,2,0.126703
2442,5,0.20175439,0.625,0.0,1,0.3978565
2346,18,0.61403507,0.875,1.0,5,0.43210647
332,4,0.80701756,1.0,0.0,5,0.44780558
1496,16,0.6754386,0.0,1.0,2,0.69745797
1358,18,0.9298246,0.625,1.0,5,0.8338493
1117,11,0.39473686,0.5,1.0,2,0.17448625
2414,9,0.42105263,0.25,1.0,2,0.17181747
676,14,0.40350878,0.125,0.0,5,0.7093302
1282,18,0.32456142,0.5,0.0,3,0.29896358
2056,5,1.0,0.625,1.0,3,0.55405724
940,14,0.81578946,0.25,1.0,2,0.15146326
1309,16,0.9035088,0.375,1.0,4,0.1689759
430,0,0.18421052,0.25,1.0,5,0.06652833
1806,2,0.5701754,0.875,0.0,3,0.5979822
2105,6,0.7105263,0.75,1.0,1,0.18896255
284,13,0.94736844,0.75,1.0,5,0.95526844
1035,19,0.23684211,0.625,1.0,1,0.96861523
872,13,0.35964912,0.125,1.0,5,0.5671676
2166,8,0.55263156,0.5,0.0,1,0.8923365
914,3,0.34210527,0.875,0.0,5,0.54827607
1745,16,0.61403507,0.0,1.0,2,0.3712628
2051,11,0.34210527,0.125,0.0,2,0.17209895
452,5,0.80701756,0.0,1.0,5,0.5297072
638,15,0.5877193,1.0,1.0,1,0.42560208
1185,5,0.78070176,0.125,0.0,2,0.24993932
556,18,0.25438598,1.0,1.0,5,0.517597
955,15,0.80701756,0.25,1.0,1,0.34671402
973,11,0.1754386,0.25,1.0,1,0.7842118
2004,6,0.1754386,0.625,0.0,2,0.9637507
442,11,0.9649123,0.75,1.0,4,0.07480189
1872,13,0.92105263,0.5,1.0,4,0.62599707
672,6,0.13157895,0.375,0.0,2,0.15981625
1643,6,0.19298245,0.875,0.0,3,0.32440072
1826,8,0.64912283,0.125,0.0,3,0.68160665
1074,14,0.24561404,0.375,0.0,3,0.2132283
1675,2,0.64912283,1.0,1.0,2,0.1278089
2253,6,0.7631579,0.375,1.0,4,0.1227095
798,7,0.9298246,0.125,0.0,4,0.05484375
1528,11,0.71929824,0.375,1.0,3,0.5752112
1976,16,0.1754386,0.5,1.0,5,0.89186215
2227,2,0.8596491,1.0,0.0,1,0.8887488
