,model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
0,EDuRec,0.5632537603378296,0.6280444860458374,0.5081579685211182,0.4250262975692749,0.42604607343673706,0.4212409257888794,0.4250262975692749,0.42604607343673706,0.4212409257888794,0.4694344699382782,0.48582860827445984,0.4516451060771942,0.05086308717727661,0.02614487335085869,0.09617719054222107,0.5086308717727661,0.522897481918335,0.48088595271110535
1,Random,0.0142,0.0288,0.0082,0.0014,0.0017,0.0014,0.0046,0.0056,0.0039,0.0029,0.0042,0.0024,0.0015,0.0016,0.0017,0.0038,0.0084,0.0024
2,Pop,0.1398,0.1992,0.0878,0.036,0.0384,0.0331,0.0545,0.0586,0.0478,0.0539,0.0647,0.0438,0.0171,0.0136,0.0202,0.0887,0.1275,0.0574
3,ItemKNN,0.3593,0.4263,0.2925,0.1874,0.1926,0.1788,0.2112,0.2159,0.2021,0.2248,0.2416,0.2044,0.0558,0.0365,0.08,0.3046,0.3609,0.2458
4,BPR,0.3962,0.4988,0.3128,0.1777,0.185,0.168,0.2072,0.2142,0.196,0.222,0.2466,0.1985,0.0558,0.0387,0.0779,0.3174,0.402,0.2507
5,NeuMF,0.3854,0.4875,0.2991,0.1712,0.1778,0.1609,0.2001,0.2071,0.1887,0.2138,0.2374,0.1891,0.0526,0.0368,0.0733,0.3067,0.3877,0.2353
6,LightGCN,0.3901,0.4851,0.3015,0.1735,0.1806,0.1633,0.202,0.2086,0.1902,0.2177,0.2408,0.1929,0.0534,0.0376,0.0741,0.3157,0.3926,0.2442
7,NGCF,0.3864,0.4925,0.3004,0.1624,0.1698,0.1523,0.1917,0.1991,0.1803,0.2073,0.2324,0.183,0.0532,0.0377,0.0726,0.3058,0.3916,0.2364
8,MultiVAE,0.4155,0.5086,0.3147,0.1841,0.1913,0.1723,0.2152,0.2218,0.2016,0.2314,0.2546,0.2029,0.0581,0.04,0.0789,0.3357,0.4141,0.2543
9,RecVAE,0.425,0.5244,0.3287,0.185,0.1924,0.1732,0.2142,0.2211,0.2017,0.2343,0.2589,0.2066,0.06,0.0409,0.0822,0.3446,0.4296,0.2666
10,EASE,0.411,0.5062,0.3218,0.1923,0.1998,0.1814,0.2206,0.2273,0.2086,0.2374,0.2612,0.2113,0.0597,0.0412,0.0826,0.3347,0.414,0.261
11,SLIMElastic,0.315,0.3791,0.2556,0.1452,0.1492,0.1391,0.1728,0.1772,0.165,0.1789,0.1933,0.1633,0.0437,0.0297,0.0615,0.2441,0.2936,0.2002
12,SimpleX,0.3777,0.4664,0.2941,0.1876,0.194,0.1776,0.2154,0.2215,0.2045,0.2267,0.2481,0.2026,0.0551,0.0375,0.0761,0.3089,0.382,0.2391
13,SGL,0.3907,0.4782,0.3073,0.1738,0.181,0.164,0.2028,0.209,0.1916,0.2185,0.2405,0.1948,0.0553,0.0384,0.0766,0.3154,0.3878,0.2488
14,NCL,0.3867,0.4822,0.2928,0.1632,0.1706,0.1525,0.1918,0.1983,0.1792,0.208,0.2321,0.1821,0.0521,0.0368,0.0703,0.3079,0.3894,0.2339
15,GRU4Rec,0.5364,0.5939,0.4854,0.4225,0.4264,0.4156,0.4225,0.4264,0.4156,0.4496,0.4641,0.433,0.0536,0.0297,0.0971,0.5364,0.5939,0.4854
16,NARM,0.5233,0.5764,0.4738,0.4009,0.4046,0.3942,0.4009,0.4046,0.3942,0.4302,0.4436,0.4141,0.0523,0.0288,0.0948,0.5233,0.5764,0.4738
17,SASRec,0.5832,0.6495,0.511,0.4016,0.4062,0.392,0.4016,0.4062,0.392,0.445,0.4617,0.4217,0.0583,0.0325,0.1022,0.5832,0.6495,0.511
18,BERT4Rec,0.5526,0.6116,0.4989,0.423,0.4271,0.4159,0.423,0.4271,0.4159,0.4539,0.4689,0.4366,0.0553,0.0306,0.0998,0.5526,0.6116,0.4989
19,CORE,0.5877,0.6611,0.4918,0.1953,0.2004,0.1822,0.1953,0.2004,0.1822,0.2909,0.3094,0.2596,0.0588,0.0331,0.0984,0.5877,0.6611,0.4918
20,LightSANs,0.5833,0.6516,0.5163,0.4189,0.4236,0.4098,0.4189,0.4236,0.4098,0.4581,0.4754,0.4363,0.0583,0.0326,0.1033,0.5833,0.6516,0.5163
