,model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
0,EDuRec,0.5441176295280457,0.7941176295280457,0.3382352888584137,0.15040266513824463,0.15385116636753082,0.1355392187833786,0.15040266513824463,0.15385116636753082,0.1355392187833786,0.2591985762119293,0.32320550084114075,0.19290149211883545,0.04264706000685692,0.02352941408753395,0.06176470220088959,0.4264705777168274,0.47058823704719543,0.30882352590560913
1,Random,0.2564,0.4872,0.1026,0.0425,0.0607,0.0239,0.0799,0.0943,0.0577,0.0816,0.1426,0.0369,0.0333,0.0359,0.0205,0.1607,0.3731,0.0457
2,Pop,0.5385,0.5897,0.4359,0.1987,0.2108,0.1791,0.2621,0.2653,0.2487,0.2809,0.3056,0.2393,0.0769,0.05,0.1077,0.4628,0.5269,0.353
3,ItemKNN,0.5385,0.6667,0.4103,0.185,0.1992,0.1504,0.2315,0.2396,0.2167,0.2696,0.3152,0.2116,0.0872,0.059,0.1128,0.4692,0.6295,0.3171
4,BPR,0.359,0.5897,0.2308,0.0985,0.1132,0.0846,0.1265,0.1424,0.1073,0.143,0.1977,0.1094,0.0436,0.0372,0.0513,0.2368,0.4316,0.1538
5,NeuMF,0.4615,0.6923,0.4103,0.1945,0.2119,0.1778,0.2434,0.2595,0.238,0.2618,0.3203,0.2364,0.0795,0.0551,0.1231,0.4051,0.6167,0.35
6,LightGCN,0.5641,0.7692,0.4615,0.2808,0.2949,0.2637,0.3212,0.3336,0.3064,0.3466,0.3996,0.3152,0.0872,0.059,0.1385,0.4949,0.6936,0.4205
7,NGCF,0.5897,0.7179,0.4103,0.2549,0.2714,0.2319,0.321,0.3293,0.2974,0.3295,0.3752,0.2722,0.0872,0.0564,0.1282,0.4897,0.6551,0.3231
8,MultiVAE,0.5128,0.641,0.4103,0.2467,0.2569,0.2232,0.2989,0.3065,0.2863,0.31,0.347,0.273,0.0846,0.0526,0.1231,0.4372,0.5782,0.3513
9,RecVAE,0.7436,0.8462,0.5897,0.4302,0.4362,0.3993,0.4916,0.4982,0.4701,0.5098,0.5312,0.4466,0.1103,0.0615,0.1692,0.6885,0.7654,0.5081
10,EASE,0.5897,0.6923,0.4615,0.2188,0.2307,0.1932,0.2579,0.2643,0.2423,0.3063,0.3443,0.2585,0.0949,0.0603,0.1385,0.5205,0.6551,0.3949
11,SLIMElastic,0.5641,0.7436,0.4359,0.2144,0.2287,0.1786,0.2609,0.2716,0.2423,0.2999,0.3476,0.2362,0.0923,0.0615,0.1282,0.5077,0.6795,0.3372
12,SimpleX,0.5385,0.7179,0.3846,0.225,0.2424,0.1915,0.2892,0.3001,0.2688,0.2979,0.3503,0.2308,0.0821,0.0577,0.0974,0.4487,0.6359,0.2718
13,SGL,0.641,0.7436,0.5641,0.373,0.387,0.3599,0.4766,0.4842,0.4667,0.4342,0.4758,0.4049,0.0846,0.0564,0.1436,0.5201,0.6577,0.438
14,GRU4Rec,0.3647,0.5803,0.2271,0.153,0.1674,0.1341,0.153,0.1674,0.1341,0.2021,0.256,0.1572,0.0365,0.029,0.0454,0.3647,0.5803,0.2271
15,NARM,0.344,0.5849,0.2271,0.1253,0.1412,0.1094,0.1253,0.1412,0.1094,0.1764,0.2362,0.1383,0.0344,0.0292,0.0454,0.344,0.5849,0.2271
16,SASRec,0.3509,0.5642,0.2041,0.1238,0.1389,0.1055,0.1238,0.1389,0.1055,0.1759,0.2303,0.1297,0.0351,0.0282,0.0408,0.3509,0.5642,0.2041
17,BERT4Rec,0.1835,0.3716,0.1055,0.0564,0.07,0.0458,0.0564,0.07,0.0458,0.0857,0.1338,0.0603,0.0183,0.0186,0.0211,0.1835,0.3716,0.1055
18,CORE,0.2683,0.4564,0.1353,0.062,0.0744,0.0443,0.062,0.0744,0.0443,0.1094,0.1561,0.0664,0.0268,0.0228,0.0271,0.2683,0.4564,0.1353
19,LightSANs,0.3739,0.5963,0.1995,0.1132,0.1288,0.0896,0.1132,0.1288,0.0896,0.1732,0.2296,0.1165,0.0374,0.0298,0.0399,0.3739,0.5963,0.1995
