model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
EDuRec,0.5646725296974182,0.6272562742233276,0.5108378529548645,0.42190948128700256,0.4226774573326111,0.419403076171875,0.42190948128700256,0.4226774573326111,0.419403076171875,0.47171294689178467,0.48749035596847534,0.4543631374835968,0.04925514757633209,0.02515961416065693,0.09488452970981598,0.49255144596099854,0.5031922459602356,0.4744226336479187
Random,0.015,0.0277,0.0066,0.0014,0.0015,0.0012,0.0042,0.0051,0.0032,0.0029,0.0039,0.002,0.0016,0.0015,0.0013,0.0049,0.0082,0.0021
Pop,0.1377,0.2021,0.0881,0.0357,0.0385,0.0331,0.0543,0.0588,0.0478,0.0532,0.0653,0.0438,0.0168,0.0138,0.0203,0.0863,0.1303,0.0575
ItemKNN,0.3593,0.4265,0.2923,0.1871,0.1924,0.1785,0.211,0.2157,0.2019,0.2245,0.2414,0.2041,0.0557,0.0365,0.0799,0.3044,0.361,0.2455
BPR,0.4052,0.5067,0.3181,0.1818,0.1895,0.1719,0.2109,0.2178,0.1992,0.2268,0.252,0.2031,0.0567,0.0396,0.0791,0.3237,0.409,0.258
NeuMF,0.3994,0.4925,0.3028,0.1767,0.1836,0.1666,0.2082,0.2146,0.1954,0.2203,0.2436,0.1947,0.0549,0.038,0.0748,0.3125,0.3925,0.2398
LightGCN,0.3936,0.4912,0.3002,0.1705,0.1783,0.1601,0.1992,0.2059,0.187,0.2151,0.2397,0.1895,0.0534,0.0377,0.0726,0.3135,0.3967,0.2404
NGCF,0.3944,0.497,0.3034,0.1706,0.1779,0.1599,0.1994,0.2064,0.1872,0.215,0.2393,0.1893,0.0541,0.038,0.0733,0.3115,0.3936,0.2389
MultiVAE,0.4123,0.5189,0.3205,0.1866,0.1944,0.176,0.2178,0.2252,0.2055,0.2325,0.2587,0.2065,0.0572,0.0399,0.0801,0.3325,0.4227,0.257
RecVAE,0.4252,0.5284,0.3342,0.1889,0.1966,0.1783,0.2204,0.2275,0.2083,0.2372,0.263,0.2115,0.0599,0.0415,0.0836,0.3422,0.4312,0.2693
EASE,0.411,0.5062,0.3218,0.1923,0.1998,0.1814,0.2206,0.2273,0.2086,0.2374,0.2612,0.2113,0.0597,0.0412,0.0826,0.3347,0.414,0.261
SLIMElastic,0.315,0.3791,0.2556,0.1452,0.1492,0.1391,0.1728,0.1772,0.165,0.1789,0.1933,0.1633,0.0437,0.0297,0.0615,0.2441,0.2936,0.2002
SimpleX,0.373,0.4582,0.296,0.1905,0.1971,0.1806,0.2187,0.2246,0.2083,0.2287,0.2499,0.2054,0.0558,0.038,0.0768,0.3065,0.379,0.2407
SGL,0.3886,0.4751,0.2954,0.1674,0.1743,0.1565,0.1973,0.2031,0.1847,0.2121,0.2337,0.1858,0.0523,0.0368,0.0706,0.3111,0.3822,0.2355
GRU4Rec,0.5365,0.5973,0.4836,0.4223,0.4265,0.4152,0.4223,0.4265,0.4152,0.4495,0.4648,0.4323,0.0537,0.0299,0.0967,0.5365,0.5973,0.4836
NARM,0.5269,0.5846,0.4784,0.4075,0.4114,0.401,0.4075,0.4114,0.401,0.436,0.4505,0.4203,0.0527,0.0292,0.0957,0.5269,0.5846,0.4784
SASRec,0.5834,0.6494,0.5113,0.41,0.4147,0.4003,0.41,0.4147,0.4003,0.4514,0.4681,0.428,0.0583,0.0325,0.1023,0.5834,0.6494,0.5113
BERT4Rec,0.5514,0.6057,0.4925,0.4166,0.4203,0.4088,0.4166,0.4203,0.4088,0.4487,0.4624,0.4297,0.0551,0.0303,0.0985,0.5514,0.6057,0.4925
CORE,0.5906,0.6626,0.4885,0.193,0.198,0.1792,0.193,0.198,0.1792,0.2896,0.3078,0.2563,0.0591,0.0331,0.0977,0.5906,0.6626,0.4885
LightSANs,0.585,0.6517,0.5176,0.4125,0.4171,0.4034,0.4125,0.4171,0.4034,0.4537,0.4707,0.4319,0.0585,0.0326,0.1035,0.585,0.6517,0.5176
