,mean,std
val/MSE,1.0981589078903198,0.06123929275267039
val/RMSE,1.0296791791915894,0.02564098880054311
val/MAE,0.7833180904388428,0.022967841455397934
val/RetrievalPrecision,0.7359771251678466,0.003294108046076227
val/RetrievalRecall,0.7778240084648133,0.00314506108788379
val/RetrievalFBetaScore,0.7563212633132934,0.0031005053867675285
val/RetrievalNormalizedDCG,0.7998932957649231,0.0023191411820373134
val/RetrievalHitRate,0.8007018327713012,0.002455141169488224
val/RetrievalMAP,0.799556827545166,0.0023082583919337685
val/RetrievalMRR,0.7999026536941528,0.0022638121860780115
