,model,hit@10,hit@20,hit@5,map@10,map@20,map@5,mrr@10,mrr@20,mrr@5,ndcg@10,ndcg@20,ndcg@5,precision@10,precision@20,precision@5,recall@10,recall@20,recall@5
0,EDuRec,0.5619560480117798,0.6183041930198669,0.5140421986579895,0.45041632652282715,0.4543319344520569,0.443997323513031,0.45041632652282715,0.4543319344520569,0.443997323513031,0.47708064317703247,0.4913327991962433,0.46156078577041626,0.05619560927152634,0.030915211886167526,0.10280844569206238,0.5619560480117798,0.6183041930198669,0.5140421986579895
1,Random,0.0206,0.0455,0.0121,0.0019,0.0023,0.0019,0.0054,0.0072,0.0044,0.004,0.0063,0.0034,0.0022,0.0027,0.0025,0.0057,0.0125,0.0043
2,Pop,0.1416,0.2112,0.0926,0.0305,0.0325,0.0295,0.0569,0.0617,0.0505,0.0483,0.0587,0.0413,0.0195,0.0162,0.0236,0.0715,0.1079,0.048
3,ItemKNN,0.3586,0.4349,0.2867,0.1781,0.1841,0.1692,0.2117,0.2171,0.202,0.2156,0.2345,0.1947,0.0646,0.0434,0.0893,0.2803,0.3406,0.2208
4,BPR,0.408,0.5056,0.3026,0.1577,0.1652,0.1461,0.2027,0.2094,0.1887,0.2054,0.2297,0.1776,0.0641,0.0452,0.0822,0.2895,0.3687,0.2132
5,NeuMF,0.3998,0.5115,0.2983,0.1512,0.1593,0.1411,0.1991,0.2069,0.1855,0.1984,0.2251,0.1722,0.06,0.0434,0.0786,0.2808,0.3675,0.2074
6,LightGCN,0.3921,0.4936,0.2972,0.1555,0.164,0.1459,0.1994,0.2066,0.187,0.2014,0.2269,0.1771,0.0613,0.0445,0.0811,0.2832,0.3627,0.2149
7,NGCF,0.3998,0.5123,0.2983,0.1468,0.1554,0.1359,0.1923,0.2,0.1787,0.1947,0.2229,0.1674,0.0619,0.0463,0.0805,0.2799,0.371,0.2012
8,MultiVAE,0.4146,0.522,0.3182,0.1714,0.1804,0.1607,0.2147,0.2222,0.2018,0.2183,0.2456,0.192,0.0665,0.0476,0.0882,0.2997,0.3877,0.2268
9,RecVAE,0.4298,0.5453,0.3322,0.1754,0.1838,0.1637,0.2179,0.2259,0.2051,0.2253,0.2527,0.1977,0.0682,0.0486,0.0923,0.3183,0.4068,0.2408
10,EASE,0.4138,0.522,0.3178,0.1751,0.1839,0.1634,0.215,0.2227,0.2021,0.2217,0.2486,0.1944,0.0687,0.0491,0.0905,0.3046,0.3897,0.2302
11,SLIMElastic,0.3532,0.4415,0.2727,0.1446,0.1507,0.1358,0.1845,0.1907,0.1739,0.1844,0.2044,0.163,0.0562,0.0403,0.0734,0.2502,0.315,0.1921
12,SimpleX,0.3882,0.4784,0.2937,0.1667,0.1733,0.1566,0.2098,0.216,0.1973,0.2104,0.232,0.1853,0.0643,0.0442,0.0854,0.2862,0.3557,0.2147
13,SGL,0.4057,0.5021,0.3049,0.1626,0.1714,0.152,0.2062,0.2129,0.1928,0.2094,0.2352,0.1831,0.0648,0.0463,0.0848,0.2913,0.3731,0.2184
14,NCL,0.3835,0.4936,0.2832,0.1501,0.1586,0.1397,0.1923,0.1998,0.179,0.1951,0.2214,0.1689,0.0592,0.0439,0.0764,0.2762,0.3586,0.2024
