,mean,std
val/MSE,0.6262494087219238,0.10927332953572387
val/RMSE,0.7807188153266906,0.06644580521839367
val/AUROC_10,0.15823427736759185,0.003392316676359901
val/F1_10,0.7530438065528869,0.0035559525479255468
val/HR_10,0.7984976172447205,0.004364173553179402
val/MAP_10,0.790676474571228,0.002596310003214069
val/MRR_10,0.7917951226234436,0.0028453604304595217
val/NDCG_10,0.7927146673202514,0.0033587494508311245
val/Precision_10,0.731903862953186,0.0033412341939867314
val/Recall_10,0.7754461407661438,0.004356624020375173
